2553359424 = infinite_power, Infinite Power Generator
2659626630 = RTC_Lifeboat_power01, RTC_Lifeboat (SPECIAL Unknown) Power Generator
2779996489 = ge_fighter_power01, Starflier (SPECIAL New Player, Civilian) Power Generator
3103917188 = ge_armored_nobay_power01, Armored Transport (SPECIAL No Bay, Civilian) Power Generator
2764472847 = li_elite2_power01, Defender (SPECIAL Juni's) Power Generator
2446443268 = mission02_burning_transport_power01, Transport (SPECIAL Burning) Power Generator
2831379393 = mission02_burning_l_elite_power01, Defender (SPECIAL Burning Elite) Power Generator
3023216266 = msn_playership_power01, Starflier (SPECIAL Mission) Power Generator
2486740868 = debris_tosser_200_power01, Patriot (SPECIAL Debris Tosser 200) Power Generator
2302605128 = ku_dragon_power01, Dragon (SPECIAL Class 9) Power Generator
2962403085 = large_transport_m03_power01, Large Transport (SPECIAL M03) Power Generator
2259007816 = or_osiris_power01, Osiris (SPECIAL Order Dreadnought) Power Generator
2655903625 = vic_csv_power, CSV Power Generator (VictorMod)
2459535939 = vic_armored_power, Armored Transport Power Generator (VictorMod)
3035058184 = vic_transport_power, Transport Power Generator (VictorMod)
2974163848 = vic_large_transport_power, Large Transport Power Generator (VictorMod)
3029764683 = vic_repair_power, Repair Ship Power Generator (VictorMod)
2196450500 = vic_lifter_power, Heavy Lifter Power Generator (VictorMod)
2652975180 = vic_miner_power, Miner Power Generator (VictorMod)
3159062343 = vic_lc_power, Liberty Cruiser Power Generator (VictorMod)
2705570182 = vic_lbd_power, Liberty Dreadnought Power Generator (VictorMod)
2840233289 = vic_bg_power, Bretonia Gunboat Power Generator (VictorMod)
2794095305 = vic_bd_power, Bretonia Destroyer Power Generator (VictorMod)
3104476617 = vic_bb_power, Bretonia Battleship Power Generator (VictorMod)
2303435072 = vic_kg_power, Kusari Gunboat Power Generator (VictorMod)
2257299136 = vic_kd_power, Kusari Destroyer Power Generator (VictorMod)
2567678400 = vic_kb_power, Kusari Battleship Power Generator (VictorMod)
2838005069 = vic_rg_power, Rhineland Gunboat Power Generator (VictorMod)
3156774733 = vic_rc_power, Rhineland Cruiser Power Generator (VictorMod)
2637791433 = vic_cargo_power, vic_cargo_power (VictorMod)
3151744839 = vic_shuttle_power, Lynx Shuttlecraft Power Generator (VictorMod)
2557118914 = upgrade_power1, Light Power Upgrade (TNG 1.7 MOD)
3094017474 = upgrade_power2, Medium Power Upgrade (TNG 1.7 MOD)
2557141442 = upgrade_power3, Heavy Power Upgrade (TNG 1.7 MOD)
3093958082 = upgrade_power4, Advanced Power Upgrade (TNG 1.7 MOD)
2557090242 = upgrade_power5, Prototype Power Upgrade (TNG 1.7 MOD)
3026190019 = gunboat_power, Gunboat Power (TNG 1.7 MOD)
2895536064 = cruiser_power, Cruiser Power (TNG 1.7 MOD)
2507858511 = battleship_power, Battleship Power (TNG 1.7 MOD)
2219569740 = Light1, Light Power 2 (TNG 1.7 MOD)
2756415052 = Light2, Light Power 2 (TNG 1.7 MOD)
2219547212 = Light3, Light Power 3 (TNG 1.7 MOD)
2572239625 = Medium1, Medium Power 1 (TNG 1.7 MOD)
3109109513 = Medium2, Medium Power 2 (TNG 1.7 MOD)
2572233481 = Medium3, Medium Power 3 (TNG 1.7 MOD)
2648371595 = Heavy1, Heavy Power 1 (TNG 1.7 MOD)
3185216907 = Heavy2, Heavy Power 2 (TNG 1.7 MOD)
2648349067 = Heavy3, Heavy Power 3 (TNG 1.7 MOD)
